id,news,url,label
16,"AI ""ဘိုလီးဗီးယာလွှတ်တော်အဆောက်အအုံပြိုကျမှု"" ဗီဒီယို အွန်လိုင်းပေါ်ပျံ့နှံ့",https://factcheckmyanmar.afp.com/doc.afp.com.66VQ8CR,Fake
17,ကျော်ကြားတဲ့ခရီးသွားနေရာကဗီဒီယိုတွေကို အီရန်-အစ္စရေးစစ်ပွဲနဲ့ မှားယွင်းချိတ်ဆက်မျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.66RC6KE,Fake
18,လွှတ်တော်အတွင်းအငြင်းပွားမှုဗီဒီယိုဟာဂျော်ဂျီယာနိုင်ငံကဖြစ်ပြီး အစ္စရေးနဲ့မသက်ဆိုင်,https://factcheckmyanmar.afp.com/doc.afp.com.66D32G3,Fake
19,ပြင်သစ်တေးဂီတပွဲတော်ဗီဒီယိုကို အီရန်-အစ္စရေးစစ်ပွဲကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.64997T2,Fake
20,ပါကစ္စတန်လေယာဥ်တစ်စင်းရဲ့ လေထုမငြိမ်သက်မှုဖြစ်စဥ်ကို Air India ဖြစ်ရပ်ဆိုးအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.63YU69E,Fake
21,US ရဲ့ အီရန်နိုင်ငံကိုတိုက်ခိုက်မှုဆိုပြီး အခြားပေါက်ကွဲမှုဗီဒီယိုဟောင်းတွေပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.63UG4G2,Fake
22,တရုတ်မီးသတ်လေ့ကျင့်ရေးဗီဒီယိုကို အီရန်ရဲ့ အစ္စရေးဓာတ်အားပေးစက်ရုံတိုက်ခိုက်မှုအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.63PN6T2,Fake
23,တရုတ်နိုင်ငံက မီးလောင်ကျွမ်းမှုဗီဒီယိုကို အီရန်-အစ္စရေးစစ်ပွဲကဆိုပြီး မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.63JD6NR,Fake
24,အခြားလေယာဉ်ပေါ်က ဗီဒီယိုဟောင်းတစ်ခုကို Air India လေယာဥ်ပျက်ကျမှုအဖြစ် မှားယွင်းဖော်ပြ,https://factcheckmyanmar.afp.com/doc.afp.com.634B462,Fake
25,လက်တလော အီရန်ရဲ့ အစ္စရေးမြို့တော် တဲလ်အဗစ်ကို တိုက်ခိုက်မှုဆိုပြီး ဗီဒီယိုဟောင်းတစ်ခုမှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.633Z9NP,Fake
26,Air India လေယာဥ်ပျက်ကျမှုနောက်ပိုင်း သက်ဆိုင်မှုမရှိတဲ့ ဗီဒီယိုနဲ့ ရုပ်ပုံဟောင်းတွေ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.62MC8KD,Fake
27,မြစ်ရေလျှံမှုပုံရိပ်တွေနဲ့ AI ဖန်တီးမှုဗီဒီယိုတစ်ခုကို မြန်မာနိုင်ငံကရေကြီးမှုဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.62864NP,Fake
28,ကင်ညာဆန္ဒပြပွဲက ရေအမြောက်ပစ်ခတ်မှုဗီဒီယိုကို အမေရိကန်ဆန္ဒပြပွဲကဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.49VW3NP,Fake
29,တံတားတစ်စင်းကို ဇက်သင်္ဘောတွေတိုက်မိတဲ့ဗီဒီယိုဟာ မြန်မာနိုင်ငံကမဟုတ်,https://factcheckmyanmar.afp.com/doc.afp.com.49MU89J,Fake
30,ပင်လယ်နီအတွင်းလေယာဥ်ပျက်ကျ' ဆိုတဲ့အခြေအမြစ်မရှိတဲ့ပြောဆိုမှုနဲ့အတူ လေယာဥ်နှစ်မြှုပ်မှုဗီဒီယို မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.49FE3KD,Fake
31,Final Destination ရုပ်ရှင်အသစ်ကြောင့် ဓာတ်ပုံဟောင်းတွေနဲ့ အချက်အလက်မှားတွေ ပျံ့နှံ့မှုဖြစ်ပွား,https://factcheckmyanmar.afp.com/doc.afp.com.49AY462,Fake
32,လအတော်ကြာက ဖလော်ရီဒါရေကြီးမှု ဗီဒီယိုကို ထိုင်းနိုင်ငံကရေကြီးမှုဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.49AM7ZP,Fake
33,၂၀၂၂ ခုနှစ်ကဓာတ်ပုံဟောင်းကို ၂၀၂၅ မှာပျက်ကျခဲ့တဲ့ စစ်တပ်ရဟတ်ယာဥ်ဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.48ZD6NP,Fake
34,တရုတ်က ဂါဇာဒေသကို အကူအညီတွေပို့ဆောင်ပေးခဲ့တယ်ဆိုပြီး စစ်ရေးလေ့ကျင့်မှုဗီဒီယိုတစ်ခု မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.48H76WD,Fake
35,ဘရာဇီးနိုင်ငံကလုယက်မှုကို စစ်တပ်ဆန့်ကျင်ရေးတပ်ဖွဲ့နဲ့ဆက်နွယ်နေတဲ့ ဗီဒီယိုဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.484J6ZP,Fake
36,ပါကစ္စတန်စစ်တပ်က ပစ်ချလိုက်တဲ့ တိုက်လေယာဉ်ဆိုပြီး AI ဖန်တီးမှုဗီဒီယိုတစ်ခု မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.46XC8KD,Fake
37,ဂိမ်းဗီဒီယိုတွေကို အိန္ဒိယနဲ့ ပါကစ္စတန် တိုက်ခိုက်မှုတွေဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.46WP3WD,Fake
38,ဂါဇာဒေသက ပေါက်ကွဲမှုဗီဒီယိုကို အိန္ဒိယ-ပါကစ္စတန်တင်းမာမှုပို့စ်တွေမှာ မှားယွင်းဖော်ပြ,https://factcheckmyanmar.afp.com/doc.afp.com.46LG4G2,Fake
39,ဂါဇာစစ်ပွဲကဗီဒီယိုကို ကက်ရှ်မီးယားတိုက်ခိုက်မှုကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.46FM464,Fake
40,၂၀၂၄ ခုနှစ် အိန္ဒိယလေယာဉ်ပျက်ကျမှုကဓာတ်ပုံကို ပါကစ္စတန်ပစ်ချတဲ့ စစ်လေယာဉ်ဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.462Q3KD,Fake
41,အိန္ဒိယနဲ့တင်းမာမှုတွေမြင့်တက်နေချိန် ပါကစ္စတန်မီးလောင်မှုဗီဒီယိုဟောင်းတစ်ခု မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.44WV9G2,Fake
42,လေယာဥ်ပျက်ကျမှုဗီဒီယိုဟောင်းတွေကို အိန္ဒိယ-ပါကစ္စတန် တင်းမာမှုကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.44WR7ZQ,Fake
43,ဒီဗီဒီယိုဟာ ထိုင်းလောင်းကစားဆိုင်ရာဥပဒေ ဆန့်ကျင်ဆန္ဒပြပွဲကဖြစ်ပြီး မြန်မာ့စစ်ခေါင်းဆောင်ကို ဆန္ဒပြမှုမဟုတ်,https://factcheckmyanmar.afp.com/doc.afp.com.43UZ7NP,Fake
44,ဘန်ကောက်အဆောက်အအုံပြိုကျမှုဗီဒီယိုကို ချင်းမိုင်ငလျင်လှုပ်ခတ်မှုကဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.43FE99F,Fake
45,ကယ်ဆယ်ရေး ဗီဒီယိုဟောင်းတစ်ခုကို လူအသေအပျောက်များခဲ့တဲ့ ငလျင်လှုပ်ခတ်မှုအပြီး နှစ်ပတ်အကြာမှာတွေ့ရတဲ့ ထိုင်းနိုင်ငံက အသက်ရှင်ကျန်ရစ်သူအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.437H3G2,Fake
46,ချင်းမိုင်မြို့က မြေယာအခွင့်အရေးဆိုင်ရာဆန္ဒပြပွဲကို မင်းအောင်လှိုင်ဆန့်ကျင်ရေး ဆန္ဒပြပွဲအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.42GP7ZP,Fake
47,မလေးရှားက ရွှံ့မီးတောင် ဗီဒီယိုဟောင်းတစ်ခုကို မြန်မာနိုင်ငံငလျင်အဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.39XJ7WE,Fake
48,၂၀၂၄ ထိုင်ဝမ်ငလျင်က ကြောင်ကယ်ဆယ်ရေးဓာတ်ပုံတွေကို ထိုင်းနိုင်ငံကဆိုပြီး မှားယွင်းပြောဆို,http://factcheckmyanmar.afp.com/doc.afp.com.39TD7CP,Fake
49,Volodymyr Zelensky က ဆော်ဒီခေါင်းဆောင်တွေရှေ့ ဒူးထောက်တဲ့ ဗီဒီယိုက AI ဖန်တီးမှုသာဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.39MQ9G2,Fake
50,AI အမှတ်အသားနဲ့ ဗီဒီယိုတစ်ခုကို မြန်မာငလျင်အပြီး အပျက်အစီးတွေဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.393P4ZP,Fake
51,နယူးဇီလန်ငလျင်ဓာတ်ပုံဟောင်းကို မြန်မာငလျင်အပျက်အစီးဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.38WN29F,Fake
52,ထိုင်းနိုင်ငံက ကယ်ဆယ်ရေးသူရဲကောင်းခွေးကလေးဆိုပြီး ဓာတ်ပုံဟောင်းမှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.38MM2KD,Fake
53,အီရတ်နိုင်ငံက ဘာသာရေးပွဲတော်ကို Duterte ထောက်ခံရေး ဆန္ဒပြမှုကဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.388B464,Fake
54,အရှေ့တီမောနိုင်ငံက ဘာသာရေးပွဲတော်ကို တူရကီဆန္ဒပြပွဲအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.37VY6G2,Fake
55,မလေးရှား မိကျောင်းစီးပြိုင်ပွဲဓာတ်ပုံတွေ'ဟာ AI ဖန်တီးမှုသာဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.37QC8ZP,Fake
56,Manaus မြို့နဲ့ အမေဇုန်တောတို့ဆုံရာ'လို့ဆိုတဲ့ ဝေဟင်ကရိုက်ကူးထားတဲ့ ဓာတ်ပုံဟာ AI ဖန်တီးမှုသာဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.37DN2WG,Fake
57,Pfizer က ကိုဗစ်-၁၉ ကာကွယ်ဆေးရဲ့ ဘေးထွက်ဆိုးကျိုးတွေကို ထုတ်ပြန်ခဲ့တယ်ဆိုတဲ့ မှားယွင်းပြောဆိုမှုပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.378H2T9,Fake
58,စစ်သားတစ်ဦးရဲ့ ဈာပနအခမ်းအနားဗီဒီယိုကို ဇလန်စကီးရဲ့ ဝါရှင်တန်အပြန်ခရီးအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36ZT4AU,Fake
59,AI နဲ့ဖန်တီးထားတဲ့ဓာတ်ပုံကို သာယာလှတဲ့ 'ပိုလန်နိုင်ငံက ရွာကလေး' ဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.36ZD2GJ,Fake
60,ခိုင်လုံမှုမရှိတဲ့ 'Omicron မျိုးကွဲ ပျံ့ပွားမှု' သတိပေးချက်ကို ကျန်းမာရေးပညာရှင်တွေငြင်းဆို,https://factcheckmyanmar.afp.com/doc.afp.com.36Z86H4,Fake
61,သံချပ်ကာယာဉ်လွှဲပြောင်းခြင်းနဲ့ နယ်စပ်လုံခြုံရေးကင်းလှည့်ခြင်း ဓာတ်ပုံဟောင်းတွေကို ထိုင်းနိုင်ငံက စစ်ရေးပြင်ဆင်နေမှုဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36YA6FM,Fake
62,AI ထိပ်သီးအစည်းအဝေးမှာ ပြင်သစ်သမ္မတက အိန္ဒိယဝန်ကြီးချုပ်ကို လစ်လျူရှုခဲ့တယ်ဆိုပြီး နားလည်မှုလွဲစေတဲ့ ဗီဒီယိုတစ်ခုပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36Y93QC,Fake
63,ယူကရိန်းသမ္မတ လူကြိုက်များစေဖို့ နာမည်ကြီးသရုပ်ဆောင်တွေကို USAID က ငွေကြေးထောက်ပံ့'ဆိုတဲ့ မှားယွင်းပြောဆိုမှုကို Elon Musk က ချဲ့ကားမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36XM9XA,Fake
64,ဟာဝိုင်အီတောမီးလောင်ကျွမ်းမှုကဓာတ်ပုံကို လတ်တလော LA မီးလောင်မှုကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36X972J,Fake
65,ဉာဏ်ရည်တုနည်းပညာနဲ့ ဖန်တီးထားတဲ့ဓာတ်ပုံကို LA တောမီးမှာ မီးမလောင်ဘဲ ကျန်ခဲ့တဲ့အိမ်ဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36XB67D,Fake
66,ခွေးရူးပြန်ရောဂါကို ကြက်ဟင်းခါးရွက်နဲ့ ကုသနိုင်တယ်ဆိုတဲ့ မှားယွင်းပြောဆိုမှုဟာ 'အန္တရာယ်ဖြစ်စေနိုင်တယ်'လို့ ကျွမ်းကျင်သူတွေဆို,https://factcheckmyanmar.afp.com/doc.afp.com.36X943J,Fake
67,LA မီးလောင်ကျွမ်းမှုကဆိုပြီး မီးလောင်ဒဏ်ရာနဲ့ကြောင်တစ်ကောင်ရဲ့ဓာတ်ပုံ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36WX4FT,Fake
68,ဉာဏ်ရည်တုနည်းပညာ (AI) နဲ့ဖန်တီးထားတဲ့ အော်စကာရုပ်ထုဓာတ်ပုံကို LA တောမီးကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36X27T9,Fake
69,ဘင်္ဂလားဒေ့ရှ်ရန်ပွဲက ဓာတ်ပုံကို မြန်မာနိုင်ငံမငြိမ်မသက်မှုတွေဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36WM2MF,Fake
70,တရုတ်နိုင်ငံမှာ အရေးပေါ်ကြေညာ' ဆိုတဲ့ မှားယွင်းပြောဆိုမှုနဲ့ ကိုဗစ်ကာလကဓာတ်ပုံတွေ ပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36VJ28V,Fake
71,တရုတ်နိုင်ငံက မီးသတ်လေ့ကျင့်ရေးဗီဒီယိုကို နီပေါငလျင်အဖြစ် မှားယွင်းပြောဆို,http://factcheckmyanmar.afp.com/doc.afp.com.36VR9NN,Fake
72,ဂျပန်နိုင်ငံ နှစ်သစ်ကူးနေ့ငလျင်ကဗီဒီယိုတွေကို တိဗက်ငလျင်ကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36V97VV,Fake
73,ဖြစ်ရပ်မှန်မှုခင်းတစ်ခုကိုအခြေခံပြီး Squid Game ကို ဖန်တီးထားတယ်ဆိုတဲ့ မှားယွင်းပြောဆိုမှုတွေနဲ့အတူ AI ဓာတ်ပုံတွေပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36TY8PD,Fake
74,သမိုင်းဝင် Hollywood ဆိုင်းဘုတ် မီးလောင်နေတဲ့ဓာတ်ပုံတွေဟာ အတုအယောင်သာဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.36TL3FH,Fake
75,၀၂၅ ခုနှစ် တိဗက်ငလျင်လှုပ်ခတ်ပြီးနောက် နီပေါနိုင်ငံက ဆယ်စုနှစ်တစ်ခုကြာဗီဒီယိုတစ်ခု မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36TH2Q3,Fake
76,ဉာဏ်ရည်တုနည်းပညာနဲ့ ဖန်တီးထားတဲ့ဓာတ်ပုံ ယူအေအီးလေယာဥ်ပျက်ကျမှုကဆိုပြီး မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36TG2MN,Fake
77,ဉာဏ်ရည်တုနည်းပညာနဲ့ဖန်တီးထားတဲ့ဓာတ်ပုံကို ‘ဆယ်ကျော်သက်ကိုယ်ဝန်ဆောင်မိန်းကလေးတစ်ဦးရဲ့ အစစ်အမှန်ဓာတ်ပုံ' အဖြစ် မှားယွင်းမျှဝေ,http://factcheckmyanmar.afp.com/doc.afp.com.36T36VB,Fake
78,သစ်သီးဝလံနဲ့ ဟင်းသီးဟင်းရွက်တွေမှာ အပေါက်တွေပါနေရင် မြွေကိုက်ရာဖြစ်နိုင်တယ်ဆိုတဲ့ သတိပေးချက်ကို ကျွမ်းကျင်သူတွေကပယ်ချ,https://factcheckmyanmar.afp.com/doc.afp.com.36RE3KP,Fake
79,မော်စကိုရောက်ပြီးနောက် ပထမဆုံးတွေ့ရတဲ့ ဆီးရီးယားသမ္မတဆိုပြီး ဓာတ်ပုံဟောင်း မှားယွင်းပျံ့နှံ့,http://factcheckmyanmar.afp.com/doc.afp.com.36QG99Q,Fake
80,တောင်ကိုရီးယားနိုင်ငံမှာ စစ်အုပ်ချုပ်ရေးကြေညာတဲ့ညကဆိုပြီး စစ်ရေးလေ့ကျင့်မှုဓာတ်ပုံဟောင်း မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36Q72E9,Fake
81,မကြာသေးခင်က ရုရှားရဲ့ ဆီးရီးယားသူပုန်တွေကို လေကြောင်းတိုက်ခိုက်မှုကဆိုပြီး ဓာတ်ပုံဟောင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36PY4VX,Fake
82,နိုဝင်ဘာလထဲ တောင်ကိုရီးယားသမ္မတကို ဆန့်ကျင်ဆန္ဒပြမှုကဓာတ်ပုံဖြစ်ပြီး စစ်အုပ်ချုပ်ရေးအမိန့်ကိုဆန္ဒပြမှုကမဟုတ်,https://factcheckmyanmar.afp.com/doc.afp.com.36PJ4FH,Fake
83,PDF တပ်သားတွေ ပုံစံတူစေတီတစ်ဆူမှာ ဝတ်ပြုဆုတောင်းနေကြတာဖြစ်ပြီး ကျိုက်ထီးရိုးစေတီတော်ကို ရောက်ရှိခြင်းမဟုတ်,https://factcheckmyanmar.afp.com/doc.afp.com.36N29LT,Fake
84,ဟူသီသူပုန်တွေ အမေရိကန်ရေတပ်သင်္ဘောကို ပင်လယ်နီမှာ ပစ်ခတ်တိုက်ခိုက်'တဲ့ ဗီဒီယိုဟာ ဒစ်ဂျစ်တယ်ဖန်တီးမှုသာဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.36MZ8EW,Fake
85,Kentucky မဲပေးစက်ချို့ယွင်းမှုဗီဒီယိုက မဲမသမာမှုကို သက်သေပြနိုင်ခြင်းမရှိ,https://factcheckmyanmar.afp.com/doc.afp.com.36M86A7,Fake
86,တိုက်ခိုက်ခံရတဲ့ စစ်တပ်ရဟတ်ယာဥ်' ဆိုပြီး ဓာတ်ပုံဟောင်းတစ်ပုံ လူမှုကွန်ရက်ပေါ် မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36M68V2,Fake
87,ရခိုင်ပြည်နယ်တိုက်ပွဲတွေကဆိုပြီး ရဟတ်ယာဥ်တစ်စီးတိုက်ခိုက်ခံရတဲ့ ဗီဒီယိုဟောင်းမှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36M64GU,Fake
88,အမေရိကန်ရွေးကောက်ပွဲမှာ ဒီမိုကရက်တွေ မဲခိုးနိုင်ချေရှိတယ်ဆိုတဲ့ ပြုပြင်ဖန်တီးထားတဲ့ သတင်းခေါင်းစဥ် မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36L88T3,Fake
89,ဘေရွတ်လေဆိပ်ဗုံးပေါက်ကွဲမှုကဆိုပြီး AI နည်းပညာနဲ့ ဖန်တီးထားတဲ့ဓာတ်ပုံ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36L33WF,Fake
90,ဟာရီကိန်းမီလ်တန် ရိုက်ခတ်မှုရဲ့ အပျက်အစီးတွေဆိုပြီး အခြားသဘာဝဘေးအန္တရာယ်တွေက ဓာတ်ပုံတွေ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36KQ89J,Fake
91,အယ်လ်ဂျီးရီးယားနဲ့ အင်ဒိုနီးရှားက ဗီဒီယိုတွေကို အရှေ့အလယ်ပိုင်းဒေသ ပဋိပက္ခတွေကဆိုပြီး မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.36K92NU,Fake
92,တိုင်းရင်းသားရိုးရာပုံပြင်ထဲက ဘုရင့်မိဖုရားဆိုပြီး ထိုင်းတော်ဝင်မင်းသမီးဓာတ်ပုံ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36K63JV,Fake
93,ဗုံးခိုကျင်းဆီပြေးလွှားနေတယ်ဆိုပြီး လွှတ်တော်မဲခွဲဖို့ အပြေးသွားတဲ့ အစ္စရေးဝန်ကြီးချုပ်ရဲ့ဗီဒီယိုဟောင်း မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36JW8GM,Fake
94,တိုင်ဖွန်းယာဂီကြောင့် ရေတွေကြားပိတ်မိနေတဲ့ ခွေးတွေရဲ့ ဗီဒီယိုဟာ ဗီယက်နမ်ကဖြစ်ပြီး မြန်မာနိုင်ငံကမဟုတ်,https://factcheckmyanmar.afp.com/doc.afp.com.36JP7XL,Fake
95,ကားပေါ်မှာကခုန်နေတဲ့ ကလေးငယ်တွေရဲ့ ဗီဒီယိုဟာ ထိုင်းကျောင်းကားမီးလောင်မှုမတိုင်ခင် ရက်သတ္တပတ်အတော်ကြာက ရိုက်ကူးထားခြင်းဖြစ်,https://factcheckmyanmar.afp.com/doc.afp.com.36JJ9NL,Fake
96,ရခိုင်ပြည်နယ်တိုက်ပွဲတွေကဆိုပြီး ပြုပြင်ပြောင်းလဲထားတဲ့ အီရန်နိုင်ငံပိုင် ကင်းစောင့်ရေယာဥ်ဓာတ်ပုံ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36JF3FV,Fake
