id,news,url,label,source_domain
11,တဲလ်အဗစ်လေဆိပ် တိုက်ခိုက်ခံရသည့်အတွက် လက်တုံ့ပြန်မည်ဟု အစ္စရေးက...,https://news-eleven.com/article/302508,0,news-eleven.com
12,ကျောက်ကြီး မြို့နယ်က KTLA ၊ ပကဖ မင်္ဂလာဆောင် ဗုံးခွဲ တိုက်ခိုက်ခံရလို့ ၃၀ ခန့် သေဆုံး ထိခိုက်ဒဏ်ရာ ရခဲ့တယ် ဆိုတဲ့ သတင်းအမှား,https://myanmarfactcheckingnetwork.org/2025/05/28/%e1%80%80%e1%80%bb%e1%80%b1%e1%80%ac%e1%80%80%e1%80%ba%e1%80%80%e1%80%bc%e1%80%ae%e1%80%b8-%e1%80%99%e1%80%bc%e1%80%ad%e1%80%af%e1%80%b7%e1%80%94%e1%80%9a%e1%80%ba%e1%80%80-ktla-%e1%81%8a-%e1%80%95/,1,myanmarfactcheckingnetwork.org
13,ပျောက်ဆုံးနေတဲ့စုံတွဲကို ရှာတွေ့ခဲ့တယ်ဆိုတဲ့ သတင်းအမှား,https://bur.mizzima.com/2025/08/05/64331,1,bur.mizzima.com
14,ဗိုလ်ချုပ်အောင်ဆန်းသည် အမျိုးသားခေါင်းဆောင်ဖြစ်သည့်အတွက် နိုင်ငံသားတိုင်းပိုင်ဆိုင်ပြီး မဲဆွယ်ရာတွင် ဗိုလ်ချုပ်ပုံ သုံး မသုံးမှာ ပါတီများ၏ သဘောထားသာဖြစ်ဟု ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်ဥက္ကဋ္ဌ ပြောကြား,https://news-eleven.com/article/183181,0,news-eleven.com
15,“စာရွက်ပေါ်က အပစ်အခတ်ရပ်စဲရေးလောက်နဲ့ ဘာမှဖြစ်လာမှာမဟုတ်ဘူး။ အခုပဲကြည့် စစ်တပ်က စာရွက်ပေါ်မှာတော့ အပစ်ရပ်ထားတယ်။တဖက်မှတော့ ဗုံးကျဲတာတွေ လက်နက်ကြီးပစ်တာတွေ စစ်ကြောင်းထိုးတာတွေ လုပ်နေတယ်။လူသားချင်းစာနာမှုအကူအညီတွေပေးဖို အပစ်ရပ်ဆိုတဲ့ကိစ္စ အပစ်မရပ်ရင် ဘာလုပ်မလဲဆိုတာရှိရမယ်။”,https://yktnews.com/2025/05/215683/,0,yktnews.com
16,ပြည်သူ့စစ်မှုထမ်း နည်းဥပဒေ (တတိယမူကြမ်း) ကို ရေးဆွဲခဲ့ပြီးဖြစ်ကြောင်း ကာကွယ်ရေးဝန်ကြီး ပြောကြား,https://news-eleven.com/article/289233,0,news-eleven.com
17,တုပ်ကွေးနှင့် COVID-19 ကူးစက်မှုများသည် အားလပ်ရက်ကာလအတွင်း...,https://news-eleven.com/article/285990,0,news-eleven.com
18,AI နဲ့ ဖန်တီးပြုလုပ်ထားတဲ့ ငလျင်ကြောင့်ပျက်စီးရုပ်သံဖိုင်များ,https://bur.mizzima.com/2025/04/15/53255,1,bur.mizzima.com
19,တကူရွာကို စစ်ကောင်စီတပ် ဗုံးကြဲပြီး တော်လှန်ရေးအဖွဲ့တွေကို အပြစ်ပုံချဖို့ ကြိုးပမ်း,https://myanmarfactcheckingnetwork.org/2025/01/22/%e1%80%90%e1%80%80%e1%80%b0%e1%80%9b%e1%80%bd%e1%80%ac%e1%80%80%e1%80%ad%e1%80%af-%e1%80%85%e1%80%85%e1%80%ba%e1%80%80%e1%80%b1%e1%80%ac%e1%80%84%e1%80%ba%e1%80%85%e1%80%ae%e1%80%90%e1%80%95%e1%80%ba/,1,myanmarfactcheckingnetwork.org
20,အလုပ်သမားအခွင့်အရေး တက်ကြွလှုပ်ရှားသူများကို လွှတ်ပေးရန်...,https://news-eleven.com/article/101701,0,news-eleven.com
21,Khit Thit သတင်းဌာန၏ ဩဂုတ် ၂၁ ရက် ညနေပိုင်း ရုပ်သံသတင်းအစီအစဉ်,https://yktnews.com/2025/08/225532/,0,yktnews.com
22,တိုင်ပေ ၁၀၁ မိုးမျှော်တာဝါကြီး ငလျင်လှုပ်လို့ ယိမ်းထိုးနေတာဆိုတဲ့ ဗီဒီယိုအမှားပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.32KA37J,1,factcheckmyanmar.afp.com
23,ထိုင်းနိုင်ငံမှာ PDF ထောက်ပို့တဦးကို ထိုင်းနိုင်ငံသား တဦးက သေနတ်ဖြင့် ပစ်သတ်ခဲ့တယ် ဆိုတဲ့ ဖော်ပြချက်အပေါ်စိစစ်ချက်,https://myanmarfactcheckingnetwork.org/2025/06/28/%e1%80%91%e1%80%ad%e1%80%af%e1%80%84%e1%80%ba%e1%80%b8%e1%80%94%e1%80%ad%e1%80%af%e1%80%84%e1%80%ba%e1%80%84%e1%80%b6%e1%80%99%e1%80%be%e1%80%ac-pdf-%e1%80%91%e1%80%b1%e1%80%ac%e1%80%80%e1%80%ba/,1,myanmarfactcheckingnetwork.org
24,ရခိုင်ပြည်၊ တောင်ကုတ်မြို့ (၃၄၆) အား စစ်တပ်က အပြည့်အဝပြန်လည်ထိန်းချုပ်လိုက်ပြီလို့ ဖြန့်ချိနေ,https://myanmarfactcheckingnetwork.org/2024/12/16/%e1%80%9b%e1%80%81%e1%80%ad%e1%80%af%e1%80%84%e1%80%ba%e1%80%95%e1%80%bc%e1%80%8a%e1%80%ba%e1%81%8a-%e1%80%90%e1%80%b1%e1%80%ac%e1%80%84%e1%80%ba%e1%80%80%e1%80%af%e1%80%90%e1%80%ba%e1%80%99%e1%80%bc/,1,myanmarfactcheckingnetwork.org
25,ရခိုင်ပြည်နယ်တိုက်ပွဲတွေကဆိုပြီး ရဟတ်ယာဥ်တစ်စီးတိုက်ခိုက်ခံရတဲ့ ဗီဒီယိုဟောင်းမှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36M64GU,1,factcheckmyanmar.afp.com
26,ဒီဗီဒီယိုထဲက အဆောက်အအုံပြိုကျမှုဟာ ဆော်ဒီအာရေဗျမှာဖြစ်ပြီး တူရကီငလျင်နဲ့ မသက်ဆိုင်,https://factcheckmyanmar.afp.com/doc.afp.com.338X2ZQ,1,factcheckmyanmar.afp.com
27,Myanmar Now,https://myanmar-now.org/mm/news/author/myanmar-now/,0,myanmar-now.org
28,လူသစ်စုဆောင်းလို့ထွက်ပြေးတဲ့ LGBTအမျိုးသားတယောက်ကို AAပစ်သတ်ဆိုတဲ့သတင်းမှား,https://myanmarfactcheckingnetwork.org/2024/11/22/%e1%80%9c%e1%80%b0%e1%80%9e%e1%80%85%e1%80%ba%e1%80%85%e1%80%af%e1%80%86%e1%80%b1%e1%80%ac%e1%80%84%e1%80%ba%e1%80%b8%e1%80%9c%e1%80%ad%e1%80%af%e1%80%b7%e1%80%91%e1%80%bd%e1%80%80%e1%80%ba%e1%80%95/,1,myanmarfactcheckingnetwork.org
29,KNDFနဲ့PDFဆီဂိုဒေါင်စခန်းကိုပေါင်၁၀၀၀ဗုံးကြဲပြီး KNDFနဲ့PDFထိခိုက်သေဆုံးအများအပြားရှိတယ် ဆိုပြီး ဝါဒဖြန့်ချိ,https://myanmarfactcheckingnetwork.org/2025/01/01/kndf%e1%80%94%e1%80%b2%e1%80%b7pdf%e1%80%86%e1%80%ae%e1%80%82%e1%80%ad%e1%80%af%e1%80%92%e1%80%b1%e1%80%ab%e1%80%84%e1%80%ba%e1%80%85%e1%80%81%e1%80%94%e1%80%ba%e1%80%b8%e1%80%80%e1%80%ad%e1%80%af/,1,myanmarfactcheckingnetwork.org
30,IMF က သီရိလင်္ကာကို ချေးငွေ ဒေါ်လာ သန်း ၂၅၀ ထုတ်ပေး,https://news-eleven.com/international/59355,0,news-eleven.com
31,တရုတ်နိုင်ငံက မီးသတ်လေ့ကျင့်ရေးဗီဒီယိုကို နီပေါငလျင်အဖြစ် မှားယွင်းပြောဆို,http://factcheckmyanmar.afp.com/doc.afp.com.36VR9NN,1,factcheckmyanmar.afp.com
32,"အိုးတိန်တွင်း စာသင်ကျောင်းမှာ AA, CNA/CNF, NUG, PDF များ အစည်းအဝေး လုပ်နေချိန် ပေါက်ကွဲမှု ဖြစ်ကာ ရာနဲ့ချီ သေဆုံးကြောင်း သတင်းမှားဖြန့်",https://myanmarfactcheckingnetwork.org/2025/05/17/%e1%80%a1%e1%80%ad%e1%80%af%e1%80%b8%e1%80%90%e1%80%ad%e1%80%94%e1%80%ba%e1%80%90%e1%80%bd%e1%80%84%e1%80%ba%e1%80%b8-%e1%80%85%e1%80%ac%e1%80%9e%e1%80%84%e1%80%ba%e1%80%80%e1%80%bb%e1%80%b1%e1%80%ac/,1,myanmarfactcheckingnetwork.org
33,ဘေရွတ်လေဆိပ်ဗုံးပေါက်ကွဲမှုကဆိုပြီး AI နည်းပညာနဲ့ ဖန်တီးထားတဲ့ဓာတ်ပုံ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36L33WF,1,factcheckmyanmar.afp.com
34,နေပြည်တော် ၊ ပုဗ္ဗသီရိ ညစျေးအနီး ပန်းခြံတွင် ထားရှိသော ဗိုလ်ချုပ်အောင်ဆန်း ကြေးရုပ်ထု ပျောက်ဆုံးဆိုတဲ့ သတင်းအမှား,https://myanmarfactcheckingnetwork.org/2025/08/01/%e1%80%94%e1%80%b1%e1%80%95%e1%80%bc%e1%80%8a%e1%80%ba%e1%80%90%e1%80%b1%e1%80%ac%e1%80%ba-%e1%81%8a-%e1%80%95%e1%80%af%e1%80%97%e1%80%b9%e1%80%97%e1%80%9e%e1%80%ae%e1%80%9b%e1%80%ad-%e1%80%8a/,1,myanmarfactcheckingnetwork.org
35,ကောလင်း၊ တောင်သာနှင့် ကျောက်မဲ မြို့နယ်ရှိ ကျေးရွာများကို စစ်တပ်က လေယာဉ်ဖြင့် ဗုံးကျဲ တိုက်ခိုက်မှု ပြည်သူ ၄ ဦး သေဆုံးပြီး နေအိမ်များ ပျက်စီး,https://yktnews.com/2025/08/225562/,0,yktnews.com
36,အုတ်တွင်းမြို့နယ်ရှိ ကျေးရွာတစ်ရွာတွင် ငါးနှစ်အရွယ် ကလေးငယ်ကို မွေးစားဖခင်က ရေနွေးပူဖြင့်လောင်း၊ လက်သီးဖြင့် ထိုးနှိပ်စက်ပြီး အဓမ္မပြုကျင့်သဖြင့် ရဲစခန်းတွင် အမှုဖွင့်တိုင်ကြား,https://news-eleven.com/article/295940,0,news-eleven.com
37,ရေလွှမ်းမိုးမှုကြောင့်ပျက်စီးသွားတဲ့ လစ်ဗျားကမြို့တစ်မြို့ရဲ့ ဗီဒီယိုကို ‘ဗုံးဒဏ်ကြောင့် ပျက်စီးသွားတဲ့ဂါဇာဒေသ’ဆိုပြီး မှားယွင်းဖော်ပြ,https://factcheckmyanmar.afp.com/doc.afp.com.3469289,1,factcheckmyanmar.afp.com
38,၂၁ ရာစုပင်လုံ စတုတ္ထအစည်းအဝေးကို သြဂုတ် ၁၂ ရက်တွင် စတင်ကျင်းပရန် အလုပ်အဖွဲ့အစည်းအဝေးတွင် သဘောတူညီချက်ရရှိထားပြီး ရလဒ်ကောင်းထွက်စေချင်သည့်အတွက် Social Distancing ဖြင့် လုပ်မည်ဟု သမ္မတရုံးပြောရေးဆိုခွင့်ရှိသူ ပြောကြား,https://news-eleven.com/article/183337,0,news-eleven.com
39,အီရန်ရေနံကို ဝယ်ယူသည့်နိုင်ငံများအား ပိတ်ဆို့အရေးယူမည်ဟု ထရန့်က...,https://news-eleven.com/article/101995,0,news-eleven.com
40,ထိုင်းနိုင်ငံတွင် ဆန္ဒပြမှုများကို နှိမ်နင်းသည့်အနေနှင့်...,https://news-eleven.com/article/195583,0,news-eleven.com
41,BIMSTEC အစည်းအဝေးမစတင်မီ နစကဥက္ကဋ္ဌက ထိုင်းဝန်ကြီးချုပ်နှင့် တွေ့ဆုံ,https://news-eleven.com/article/301749,0,news-eleven.com
42,၂၀၂၁ ခုနှစ် ဆွီဒင်နိုင်ငံက ဆန္ဒပြပွဲဓာတ်ပုံကို ဖင်လန်မှာ သမ္မတဂျိုးဘိုင်ဒန်ကိုဆန့်ကျင်တဲ့ဆန္ဒပြပွဲကဆိုပြီး မှားယွင်းဖြန့်ဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.33Q478J,1,factcheckmyanmar.afp.com
43,မိုခါမုန်တိုင်းနောက်ဆက်တွဲ အပျက်အစီးဓာတ်ပုံကို ၂၀၂၄ ခုနှစ် စစ်တွေမြို့မဈေးပေါက်ကွဲမှုအဖြစ် မှားယွင်းမျှဝေ,https://factcheckmyanmar.afp.com/doc.afp.com.34L82Q6,1,factcheckmyanmar.afp.com
44,KIA က စစ်ကိုင်းအထက်ပိုင်းတွင် တပ်သားသစ်စုနေကြောင်း ဒေသခံတို့ပြော,https://myanmar-now.org/mm/news/61260/,0,myanmar-now.org
45,လွိုင်လင်လေးမြို့မှာ KNDF အယောက် (၄၀)ကျော်အား လက်နက်ခဲယမ်းများနဲ့အတူ ဖမ်းမိတယ်ဆိုတဲ့သတင်းအမှား,https://myanmarfactcheckingnetwork.org/2024/09/17/%e1%80%9c%e1%80%bd%e1%80%ad%e1%80%af%e1%80%84%e1%80%ba%e1%80%9c%e1%80%84%e1%80%ba%e1%80%9c%e1%80%b1%e1%80%b8%e1%80%99%e1%80%bc%e1%80%ad%e1%80%af%e1%80%b7%e1%80%99%e1%80%be%e1%80%ac-kndf-%e1%80%a1/,1,myanmarfactcheckingnetwork.org
46,မြန်မာကမ်းရိုးတန်းနှင့် မြစ်၀ကျွန်းပေါ်အပါအ၀င် ထိုင်းတောင်ပိုင်းကမ်းရိုးတန်း တလျှောက် ဆူနာမီဖြစ်နိုင်ခြေ ရှိတယ်ဆိုပြီး သတင်းမှားဖြန့်,https://myanmarfactcheckingnetwork.org/2025/07/04/%e1%80%99%e1%80%bc%e1%80%94%e1%80%ba%e1%80%99%e1%80%ac%e1%80%80%e1%80%99%e1%80%ba%e1%80%b8%e1%80%9b%e1%80%ad%e1%80%af%e1%80%b8%e1%80%90%e1%80%94%e1%80%ba%e1%80%b8%e1%80%94%e1%80%be%e1%80%84%e1%80%b7/,1,myanmarfactcheckingnetwork.org
47,ဘန်ကောက်မှာ လူတွေလဲကျသေဆုံးနေတယ်ဆိုပြီး ပုံအဟောင်းသုံးပြီး သတင်းအမှားဖြန့်,https://myanmarfactcheckingnetwork.org/2025/06/22/%e1%80%98%e1%80%94%e1%80%ba%e1%80%80%e1%80%b1%e1%80%ac%e1%80%80%e1%80%ba%e1%80%99%e1%80%be%e1%80%ac-%e1%80%9c%e1%80%b0%e1%80%90%e1%80%bd%e1%80%b1%e1%80%9c%e1%80%b2%e1%80%80%e1%80%bb%e1%80%9e%e1%80%b1/,1,myanmarfactcheckingnetwork.org
48,ဧရာဝတီတိုင်းအတွင်း ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူ ၄၄ သိန်းကျော်ရှိပြီး မဲရုံပေါင်း ၅၇၀၀ ကျော်ထားရှိမည်,https://news-eleven.com/article/183735,0,news-eleven.com
49,တရုတ်ဝမ်ပေါင်နှင့် စစ်တပ်ဦးပိုင် ဖက်စပ် လက်ပံတောင်းကြေးနီစီမံကိန်း လုပ်ငန်းလည်ပတ်ခြင်း မပြုရန် PDFတပ်ပေါင်းစုက ထပ်မံ သတိ ပေး၊ စီမံကိန်း အနီး စျေးဆိုင်များ မထွက်ရန်လည်း တားမြစ်,https://yktnews.com/2022/05/17688/,0,yktnews.com
50,၂၀၂၃-၂၀၂၄ ဘဏ္ဍာနှစ် ကိုးလအတွင်း ကဏ္ဍအလိုက် နိုင်ငံခြားရင်းနှီးမြှုပ်နှံမှု ဝင်ရောက်မှုအနေဖြင့် စွမ်းအင်ကဏ္ဍတွင် ဒေါ်လာ ၃၇၄ သန်းကျော်ဖြင့် အများဆုံးဖြစ်,https://news-eleven.com/article/287609,0,news-eleven.com
51,ဒန့်သလွန်ရွက်က HIV ရောဂါပိုးကို ပျောက်ကင်းစေနိုင်တယ်ဆိုတာ မဟုတ်မှန်ကြောင်း သိပ္ပံပညာရှင်တွေငြင်းဆို,https://factcheckmyanmar.afp.com/doc.afp.com.34LX7AJ,1,factcheckmyanmar.afp.com
52,နိုင်ငံခြားငွေကြေးစျေးကွက်တွင် ဒေါ်လာ ၁၁ သန်းနှင့် ထိုင်းဘတ်သန်း ၂၀၀ အထိ ဗဟိုဘဏ်က ထပ်မံထုတ်ရောင်း,https://news-eleven.com/article/288031,0,news-eleven.com
53,ကက်ရှ်မီးယားဒေသတွင် စစ်တပ်၏ ဖမ်းဆီးချုပ်နှောင်မှုခံထားရသူ...,https://news-eleven.com/article/286033,0,news-eleven.com
54,ထိုင်ဝမ်ရေလက်ကြား၏ အလယ်စည်းကို တရုတ်တိုက်လေယာဉ်များ...,https://news-eleven.com/article/286034,0,news-eleven.com
55,နယ်စပ်ပဋိပက္ခဖြစ်ပွားခဲ့ပြီးနောက် နေရပ်ပြန်သွားခဲ့သည့်...,https://news-eleven.com/article/305383,0,news-eleven.com
56,လိပ်ကျွန်းလူသတ်မှုနဲ့ ထောင်ဒဏ်ကျခံနေရတဲ့ မြန်မာနှစ်ဦးကို ထိုင်းဘုရင် လွတ်ငြိမ်းချမ်းသာခွင့်ပေးလိုက်ပြီဆိုတဲ့ အချက်အလက်အမှား ပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.32HH8NC,1,factcheckmyanmar.afp.com
57,အမေရိကန်သမ္မတဟာ ခရစ်ယာန်ဘာသာဝင်ဖြစ်ရမယ်လို့ အခြေခံဥပဒေမှာ ဖော်ပြထားတာ မရှိ,https://factcheckmyanmar.afp.com/doc.afp.com.33CD86G,1,factcheckmyanmar.afp.com
58,Samsung က ၂၀၂၄ ပါရီအိုလံပစ်အတွက် ငွေကြေးထောက်ပံ့မှုကို ရုတ်သိမ်းခြင်းမရှိ,https://factcheckmyanmar.afp.com/doc.afp.com.36BP62F,1,factcheckmyanmar.afp.com
59,1 MDB နှင့်ဆက်စပ်သည့် ဒေါ်လာ ၃၆ သန်းကျော်ကို စင်ကာပူက...,https://news-eleven.com/article/123364,0,news-eleven.com
60,ရုပ်သံဟောင်းကို အသုံးပြု၍ ငလျင်ကြောင့် ညှိုးကျသွားသည့် မဟာမြတ်မုနိဘုရားမျက်နှာတော်ကို ရောင်တော်ဖွင့်သော်လည်းမပွင့်ဟု ဖြန့်ချိနေ,https://myanmarfactcheckingnetwork.org/2025/04/05/%e1%80%9b%e1%80%af%e1%80%95%e1%80%ba%e1%80%9e%e1%80%b6%e1%80%9f%e1%80%b1%e1%80%ac%e1%80%84%e1%80%ba%e1%80%b8%e1%80%80%e1%80%ad%e1%80%af-%e1%80%a1%e1%80%9e%e1%80%af%e1%80%b6%e1%80%b8%e1%80%95%e1%80%bc/,1,myanmarfactcheckingnetwork.org
61,တရုတ်နိုင်ငံ ရှီအန်းပြည်နယ်တွင် COVID-19 ကူးစက်မှု...,https://news-eleven.com/article/223325,0,news-eleven.com
62,အာရှပထမဆုံး ဗီဇပြောင်း mpox ရောဂါပိုးကူးစက်ခံရသူဆိုပြီး အမေရိကန်က လူနာတစ်ယောက်ရဲ့ ဓာတ်ပုံဟောင်းတွေ မှားယွင်းပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.36FE9LX,1,factcheckmyanmar.afp.com
63,အေအေကို ပို့ဖို့အတွက် သိုလှောင်ထားတဲ့ စက်သုံးဆီနဲ့ ရိက္ခာဂိုထောင်တွေကို လေကြောင်းကနေ တိုက်ခိုက်ခဲ့ဆိုက သတင်းအမှားဖြန့်,https://myanmarfactcheckingnetwork.org/2025/06/25/%e1%80%a1%e1%80%b1%e1%80%a1%e1%80%b1%e1%80%80%e1%80%ad%e1%80%af-%e1%80%95%e1%80%ad%e1%80%af%e1%80%b7%e1%80%96%e1%80%ad%e1%80%af%e1%80%b7%e1%80%a1%e1%80%90%e1%80%bd%e1%80%80%e1%80%ba-%e1%80%9e%e1%80%ad/,1,myanmarfactcheckingnetwork.org
64,သရုပ်ဆောင်မြနှင်းရည်လွင် ထိုင်းနိုင်ငံမှာ အဖမ်းခံရတယ်ဆိုတဲ့ သတင်းအမှား,https://myanmarfactcheckingnetwork.org/2024/12/06/%e1%80%9e%e1%80%9b%e1%80%af%e1%80%95%e1%80%ba%e1%80%86%e1%80%b1%e1%80%ac%e1%80%84%e1%80%ba%e1%80%99%e1%80%bc%e1%80%94%e1%80%be%e1%80%84%e1%80%ba%e1%80%b8%e1%80%9b%e1%80%8a%e1%80%ba%e1%80%9c%e1%80%bd/,1,myanmarfactcheckingnetwork.org
65,လအတော်ကြာက ဖလော်ရီဒါရေကြီးမှု ဗီဒီယိုကို ထိုင်းနိုင်ငံကရေကြီးမှုဆိုပြီး မှားယွင်းပြောဆို,https://factcheckmyanmar.afp.com/doc.afp.com.49AM7ZP,1,factcheckmyanmar.afp.com
66,ရှမ်းပြည်နယ်တွင် တိုင်းရင်းသားပါတီများ အောင်နိုင်ရေးအတွက် ဝန်းရံကူညီမည်ဖြစ်ပြီး တိုင်းရင်းသားပါတီများ လိုအပ်ချက်ဖြစ်သော မြို့နယ်သုံးခုတွင် ဝင်ရောက်ယှဉ်ပြိုင်မည်ဖြစ်ကြောင်း ရှမ်းပြည်နယ် ပြည်သူ့ပါတီအထွေထွေအတွင်းရေးမှူး ပြောကြား,https://news-eleven.com/article/182387,0,news-eleven.com
67,တူရကီ-ဆီးရီးယားငလျင် “ဆူနာမီ”ဆိုပြီး မှားယွင်းပြောဆိုမှုနဲ့ တောင်အာဖရိက ဗီဒီယိုဟောင်း ပျံ့နှံ့,https://factcheckmyanmar.afp.com/doc.afp.com.33969D6,1,factcheckmyanmar.afp.com
68,မိုးဦး,https://myanmar-now.org/mm/news/author/%e1%80%99%e1%80%ad%e1%80%af%e1%80%b8%e1%80%a6%e1%80%b8/,0,myanmar-now.org
69,မော်ချီးဒေသရှိ နေရာ (၃) နေရာကို ကြဲချသွားခဲ့တာကြောင့် တော်လှန်ရေးတပ်ဖွဲ့က (၂)ဦးထက်မနည်း သေဆုံးခဲ့ပြီး (၃) ဦး ထိခိုက်ဒဏ်ရာရခဲ့တယ်လို့ စစ်ကောင်စီဝါဒဖြန့်ချိ,https://myanmarfactcheckingnetwork.org/2025/05/14/%e1%80%99%e1%80%b1%e1%80%ac%e1%80%ba%e1%80%81%e1%80%bb%e1%80%ae%e1%80%b8%e1%80%92%e1%80%b1%e1%80%9e%e1%80%9b%e1%80%be%e1%80%ad-%e1%80%94%e1%80%b1%e1%80%9b%e1%80%ac-%e1%81%83-%e1%80%94%e1%80%b1/,1,myanmarfactcheckingnetwork.org
70,ငလျင်ဒဏ်ထိ ဒေသများကို အီလွန်မက်မှ Wifi Free ပေးတယ်ဆိုတဲ့ သတင်းအမှား,https://myanmarfactcheckingnetwork.org/2025/03/31/%e1%80%84%e1%80%9c%e1%80%bb%e1%80%84%e1%80%ba%e1%80%92%e1%80%8f%e1%80%ba%e1%80%91%e1%80%ad-%e1%80%92%e1%80%b1%e1%80%9e%e1%80%99%e1%80%bb%e1%80%ac%e1%80%b8%e1%80%80%e1%80%ad%e1%80%af-%e1%80%a1%e1%80%ae/,1,myanmarfactcheckingnetwork.org
71,ဗိုလ်ချုပ်မွေးနေ့မှာ ဒေါ်အောင်ဆန်းစုကြည်ကိုလွတ်ငြိမ်းချမ်းသာခွင့်ပေးလိုက်တယ်ဆိုတဲ့သတင်းမှား,https://myanmarfactcheckingnetwork.org/2025/02/13/%e1%80%97%e1%80%ad%e1%80%af%e1%80%9c%e1%80%ba%e1%80%81%e1%80%bb%e1%80%af%e1%80%95%e1%80%ba%e1%80%99%e1%80%bd%e1%80%b1%e1%80%b8%e1%80%94%e1%80%b1%e1%80%b7%e1%80%99%e1%80%be%e1%80%ac-%e1%80%92%e1%80%b1/,1,myanmarfactcheckingnetwork.org
72,မလေးရှားတွင် ဓားဒဏ်ရာ ၁၂ ချက်ဖြင့် ထိုးသတ်ခံရသည့် မြန်မာအမျိုးသမီးအမှုတွင် မြန်မာနိုင်ငံသား ငါးဦးကို ဖမ်းဆီးထား,https://news-eleven.com/article/297201,0,news-eleven.com
